DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;TIPO;FECHA_SOLICITUD;RAZON_SOCIAL;NUMERO_RESOLUCION;FECHA_EMISION;FECHA_VENCIMIENTO;PLACA;ANO_FABRICACION;PESO_BRUTO;NUMERO_TUC_MTC;TIPO_CARGA;FECHA_CORTE
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;P.A. PERU S.A.C.;001-2023;20230120;20260816;D6Z897;2013;2.73;15M22054674E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;P.A. PERU S.A.C.;001-2023;20230120;20260816;D6V729;2012;2.545;15M22054675E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;P.A. PERU S.A.C.;001-2023;20230120;20260816;D8X850;2012;2.545;15M22054676E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;P.A. PERU S.A.C.;001-2023;20230120;20260816;APR872;2016;2.64;15M22054677E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;P.A. PERU S.A.C.;001-2023;20230120;20260816;APR726;2016;2.64;15M22054678E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;P.A. PERU S.A.C.;001-2023;20230120;20260816;C9B760;2013;27.483;15M22051777E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;EMMAX PERU E.I.R.L.;002-2023;20230120;20280120;BSM896;2022;10.5;15M22055653E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221220;CONSTRUCTORA MAVIC S.A.C.;003-2023;20230120;20260715;BTD853;2022;25;15M22056293E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;SV LOGINT S.A.C.;004-2023;20230120;20280120;ALG704;2016;27.487;15M21034916E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;SV LOGINT S.A.C.;004-2023;20230120;20280120;B5J855;1988;24;152014069;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;SV LOGINT S.A.C.;004-2023;20230120;20280120;C4S944;1999;25;151907033;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;SV LOGINT S.A.C.;004-2023;20230120;20280120;F6A973;2015;34;15M21038388E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;SV LOGINT S.A.C.;004-2023;20230120;20280120;A3S993;2007;48;15M22034252E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;SV LOGINT S.A.C.;004-2023;20230120;20280120;ATQ970;2020;42;152022016;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221221;IMPORTACIONES CARMELITA DEL NORTE E.I.R.L.;005-2023;20230120;20280120;BRH903;2023;6.5;15M22056288E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;C2M784;1980;17.26;15M22042193E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;B0S761;1995;18;15M22042192E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;C3L790;2004;26;15M22032838E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;C3N778;2006;25;15M22032804E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;B0O725;1994;25;15M22035337E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;B0B709;2008;48;15M22032806E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;AFV801;2014;48;15M22032808E;CARGA GENERAL;20231130
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20221222;EMPRESA DE TRANSPORTE NI���O JESUS MARISCAL CHAPERITO S.A.;006-2023;20230120;20280120;ATJ789;2018;27.488;15M22032821E;CARGA GENERAL;20231130
